ds,unique_id,y
0:24,LaneA21,64
0:24,LaneA67,56
0:24,LaneA3,48
0:24,LaneA17,45
0:25,LaneA21,61
0:25,LaneA67,53
0:25,LaneA3,39
0:25,LaneA17,19
0:26,LaneA21,72
0:26,LaneA67,63
0:26,LaneA3,22
0:26,LaneA17,10
0:27,LaneA21,64
0:27,LaneA67,48
0:27,LaneA3,40
0:27,LaneA17,14
0:28,LaneA21,61
0:28,LaneA67,29
0:28,LaneA3,39
0:28,LaneA17,0
0:29,LaneA21,61
0:29,LaneA67,11
0:29,LaneA3,47
0:29,LaneA17,8
0:30,LaneA21,58
0:30,LaneA67,5
0:30,LaneA3,57
0:30,LaneA17,5
0:31,LaneA21,62
0:31,LaneA67,5
0:31,LaneA3,54
0:31,LaneA17,24
0:32,LaneA21,80
0:32,LaneA67,14
0:32,LaneA3,33
0:32,LaneA17,23
0:33,LaneA21,95
0:33,LaneA67,0
0:33,LaneA3,38
0:33,LaneA17,6
0:34,LaneA21,66
0:34,LaneA67,33
0:34,LaneA3,27
0:34,LaneA17,0
0:35,LaneA21,33
0:35,LaneA67,68
0:35,LaneA3,27
0:35,LaneA17,19
0:36,LaneA21,66
0:36,LaneA67,25
0:36,LaneA3,39
0:36,LaneA17,36
0:37,LaneA21,75
0:37,LaneA67,28
0:37,LaneA3,24
0:37,LaneA17,17
0:38,LaneA21,83
0:38,LaneA67,24
0:38,LaneA3,38
0:38,LaneA17,0
0:39,LaneA21,93
0:39,LaneA67,33
0:39,LaneA3,49
0:39,LaneA17,27
0:40,LaneA21,48
0:40,LaneA67,15
0:40,LaneA3,50
0:40,LaneA17,32
0:41,LaneA21,50
0:41,LaneA67,8
0:41,LaneA3,30
0:41,LaneA17,14
0:42,LaneA21,66
0:42,LaneA67,22
0:42,LaneA3,16
0:42,LaneA17,17
0:43,LaneA21,40
0:43,LaneA67,29
0:43,LaneA3,41
0:43,LaneA17,0
0:44,LaneA21,70
0:44,LaneA67,32
0:44,LaneA3,49
0:44,LaneA17,14
0:45,LaneA21,77
0:45,LaneA67,40
0:45,LaneA3,38
0:45,LaneA17,9
0:46,LaneA21,48
0:46,LaneA67,43
0:46,LaneA3,22
0:46,LaneA17,18
0:47,LaneA21,59
0:47,LaneA67,49
0:47,LaneA3,37
0:47,LaneA17,19
0:48,LaneA21,58
0:48,LaneA67,59
0:48,LaneA3,50
0:48,LaneA17,19
0:49,LaneA21,64
0:49,LaneA67,34
0:49,LaneA3,53
0:49,LaneA17,17
0:50,LaneA21,86
0:50,LaneA67,24
0:50,LaneA3,36
0:50,LaneA17,13
0:51,LaneA21,85
0:51,LaneA67,33
0:51,LaneA3,23
0:51,LaneA17,17
0:52,LaneA21,89
0:52,LaneA67,71
0:52,LaneA3,2
0:52,LaneA17,0
