Say Plaka;Sütun Etiketleri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Satýr Etiketleri;LaneA1;LaneA10;LaneA100;LaneA101;LaneA102;LaneA103;LaneA104;LaneA105;LaneA106;LaneA107;LaneA108;LaneA109;LaneA11;LaneA110;LaneA111;LaneA112;LaneA113;LaneA114;LaneA115;LaneA116;LaneA117;LaneA118;LaneA119;LaneA12;LaneA120;LaneA121;LaneA122;LaneA123;LaneA124;LaneA125;LaneA126;LaneA127;LaneA128;LaneA129;LaneA13;LaneA130;LaneA131;LaneA132;LaneA133;LaneA134;LaneA135;LaneA136;LaneA137;LaneA138;LaneA139;LaneA14;LaneA140;LaneA141;LaneA142;LaneA143;LaneA144;LaneA145;LaneA146;LaneA147;LaneA148;LaneA149;LaneA15;LaneA150;LaneA151;LaneA152;LaneA153;LaneA154;LaneA155;LaneA156;LaneA157;LaneA158;LaneA159;LaneA16;LaneA160;LaneA161;LaneA162;LaneA163;LaneA164;LaneA165;LaneA166;LaneA167;LaneA168;LaneA169;LaneA17;LaneA170;LaneA171;LaneA172;LaneA173;LaneA174;LaneA175;LaneA176;LaneA177;LaneA178;LaneA179;LaneA18;LaneA180;LaneA181;LaneA182;LaneA183;LaneA184;LaneA185;LaneA186;LaneA187;LaneA188;LaneA189;LaneA19;LaneA190;LaneA191;LaneA192;LaneA193;LaneA194;LaneA195;LaneA196;LaneA197;LaneA198;LaneA199;LaneA2;LaneA20;LaneA200;LaneA201;LaneA202;LaneA203;LaneA204;LaneA205;LaneA206;LaneA207;LaneA208;LaneA209;LaneA21;LaneA210;LaneA211;LaneA212;LaneA213;LaneA214;LaneA215;LaneA216;LaneA217;LaneA218;LaneA219;LaneA22;LaneA220;LaneA221;LaneA222;LaneA223;LaneA224;LaneA225;LaneA226;LaneA227;LaneA228;LaneA229;LaneA23;LaneA230;LaneA231;LaneA232;LaneA233;LaneA234;LaneA235;LaneA236;LaneA237;LaneA238;LaneA239;LaneA24;LaneA240;LaneA241;LaneA242;LaneA243;LaneA244;LaneA245;LaneA246;LaneA247;LaneA248;LaneA249;LaneA25;LaneA250;LaneA251;LaneA252;LaneA253;LaneA254;LaneA255;LaneA256;LaneA257;LaneA258;LaneA259;LaneA26;LaneA260;LaneA261;LaneA262;LaneA263;LaneA264;LaneA265;LaneA266;LaneA267;LaneA268;LaneA269;LaneA27;LaneA270;LaneA271;LaneA272;LaneA273;LaneA274;LaneA275;LaneA276;LaneA277;LaneA278;LaneA279;LaneA28;LaneA280;LaneA281;LaneA282;LaneA283;LaneA284;LaneA285;LaneA286;LaneA287;LaneA288;LaneA289;LaneA29;LaneA290;LaneA291;LaneA292;LaneA293;LaneA294;LaneA295;LaneA296;LaneA297;LaneA298;LaneA299;LaneA3;LaneA30;LaneA300;LaneA301;LaneA302;LaneA303;LaneA304;LaneA305;LaneA306;LaneA307;LaneA308;LaneA309;LaneA31;LaneA310;LaneA311;LaneA312;LaneA313;LaneA314;LaneA315;LaneA316;LaneA317;LaneA318;LaneA319;LaneA32;LaneA320;LaneA321;LaneA322;LaneA323;LaneA324;LaneA325;LaneA326;LaneA327;LaneA328;LaneA329;LaneA33;LaneA330;LaneA331;LaneA332;LaneA333;LaneA334;LaneA335;LaneA336;LaneA337;LaneA338;LaneA339;LaneA34;LaneA340;LaneA341;LaneA342;LaneA343;LaneA344;LaneA345;LaneA346;LaneA347;LaneA348;LaneA349;LaneA35;LaneA350;LaneA351;LaneA352;LaneA353;LaneA354;LaneA355;LaneA356;LaneA357;LaneA358;LaneA359;LaneA36;LaneA360;LaneA361;LaneA362;LaneA363;LaneA364;LaneA365;LaneA366;LaneA367;LaneA368;LaneA369;LaneA37;LaneA370;LaneA371;LaneA372;LaneA373;LaneA374;LaneA375;LaneA376;LaneA377;LaneA378;LaneA379;LaneA38;LaneA380;LaneA381;LaneA382;LaneA383;LaneA384;LaneA385;LaneA386;LaneA387;LaneA388;LaneA389;LaneA39;LaneA390;LaneA391;LaneA392;LaneA393;LaneA394;LaneA395;LaneA396;LaneA397;LaneA398;LaneA399;LaneA4;LaneA40;LaneA400;LaneA401;LaneA402;LaneA403;LaneA404;LaneA405;LaneA406;LaneA407;LaneA408;LaneA409;LaneA41;LaneA410;LaneA411;LaneA412;LaneA413;LaneA414;LaneA415;LaneA416;LaneA417;LaneA418;LaneA419;LaneA42;LaneA420;LaneA421;LaneA422;LaneA423;LaneA424;LaneA425;LaneA426;LaneA427;LaneA428;LaneA429;LaneA43;LaneA430;LaneA431;LaneA432;LaneA433;LaneA434;LaneA435;LaneA436;LaneA437;LaneA438;LaneA439;LaneA44;LaneA440;LaneA441;LaneA442;LaneA443;LaneA444;LaneA445;LaneA446;LaneA447;LaneA448;LaneA449;LaneA45;LaneA450;LaneA451;LaneA452;LaneA453;LaneA454;LaneA455;LaneA456;LaneA457;LaneA458;LaneA459;LaneA46;LaneA460;LaneA461;LaneA462;LaneA463;LaneA464;LaneA465;LaneA466;LaneA467;LaneA468;LaneA469;LaneA47;LaneA470;LaneA471;LaneA472;LaneA473;LaneA474;LaneA475;LaneA476;LaneA477;LaneA478;LaneA479;LaneA48;LaneA480;LaneA481;LaneA482;LaneA483;LaneA484;LaneA485;LaneA486;LaneA487;LaneA488;LaneA489;LaneA49;LaneA490;LaneA491;LaneA492;LaneA493;LaneA494;LaneA495;LaneA496;LaneA497;LaneA498;LaneA499;LaneA5;LaneA50;LaneA500;LaneA501;LaneA502;LaneA503;LaneA504;LaneA505;LaneA506;LaneA507;LaneA508;LaneA509;LaneA51;LaneA510;LaneA511;LaneA512;LaneA513;LaneA514;LaneA515;LaneA516;LaneA517;LaneA518;LaneA519;LaneA52;LaneA520;LaneA521;LaneA522;LaneA523;LaneA524;LaneA525;LaneA526;LaneA527;LaneA528;LaneA529;LaneA53;LaneA530;LaneA531;LaneA532;LaneA533;LaneA534;LaneA535;LaneA536;LaneA537;LaneA538;LaneA539;LaneA54;LaneA540;LaneA541;LaneA542;LaneA55;LaneA56;LaneA57;LaneA58;LaneA59;LaneA6;LaneA60;LaneA61;LaneA62;LaneA63;LaneA64;LaneA65;LaneA66;LaneA67;LaneA68;LaneA69;LaneA7;LaneA70;LaneA71;LaneA72;LaneA73;LaneA74;LaneA75;LaneA76;LaneA77;LaneA78;LaneA79;LaneA8;LaneA80;LaneA81;LaneA82;LaneA83;LaneA84;LaneA85;LaneA86;LaneA87;LaneA88;LaneA89;LaneA9;LaneA90;LaneA91;LaneA92;LaneA93;LaneA94;LaneA95;LaneA96;LaneA97;LaneA98;LaneA99;Genel Toplam
:09;4;29;;;;;;;4;2;;;;;;;3;;4;;9;;3;;6;;;;;;;;;;17;;15;4;;;;;;;;;;;;;8;41;;;15;;26;;;;;22;;;;;;;3;3;;;;;2;;4;;4;19;;;;;;;;7;;;;;5;;;3;2;3;3;3;52;5;4;2;3;2;2;4;13;4;6;;19;3;2;3;2;2;9;2;3;2;3;28;8;3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;23;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;7;;;;27;;;;55;;11;17;27;;;12;11;;5;;;;3;10;;;;;;;;4;;;;3;2;;;39;3;;;;995
:10;;19;;;;;;6;;;;;;;;;5;;;;6;;18;;;;;;;;;;;;3;18;18;3;;;;;;;;;;;;;15;8;12;;;;23;;;;;;14;;;;;;3;2;3;;;;3;;7;;7;;3;;;;;14;;;;;;;;;;;;2;;2;39;;;;;;;;8;;5;;30;4;2;;;;8;;3;;12;37;11;2;16;6;2;2;22;4;6;3;;11;7;2;2;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;49;3;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;35;;;;;;;;;;;3;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;8;;;;;;;;;;;13;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;12;24;;5;2;;8;;;;;;20;;;11;12;;5;;11;;;;;;;;;;;;;;;4;;2;;;;;;5;6;;3;;964
:11;;;;;18;;;;11;;;;;;;;5;;;;3;;;;5;;;;;;;;;;;3;;6;;;;;;;;;;;;;8;11;27;;;;2;;;;2;;11;;;;;7;;;;;;;;;;;17;;3;9;;;;9;2;;;;5;3;;;;;;;;;8;;;;;;;;;;;;2;;;;;;2;;;;;47;;;;4;;;4;;5;;8;8;19;;;;8;2;4;5;11;;8;2;18;3;2;2;5;2;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;7;;;;;;;;;;;40;14;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;3;;;;;;;;;;;14;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;10;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;22;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;27;;;6;;3;;;;;;;8;13;;52;;;;;;;;;18;;;;;;3;;2;;7;18;;3;;;;;;3;;771
:12;;;;;6;;;;8;;;4;;;;5;;;;;;;;;4;;;;;;;;;;;;;;;;2;;;;;;;;;;14;;;;10;;;2;;;13;;;;;;2;4;;13;;;;;;;;;14;;3;5;2;;;;;;;;2;;19;;;;14;;;2;;;;;;;;;;;;;;;;;;2;4;2;4;;;44;;;;;2;;;;3;;9;;32;;;;;;13;6;21;;27;;12;;;3;26;9;2;2;;3;2;2;7;2;2;6;9;12;5;45;4;3;3;3;2;3;2;2;;;2;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;22;;;;;;;;;;;45;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41;;;;;;;;;;;2;;;;;;;;;;;31;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;30;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;47;;33;27;;;4;;;;;;35;3;4;4;8;;40;;4;;2;;;;16;;;;;;2;19;2;;;23;17;2;;;;;3;;;;1055
:13;;;;;;;;;14;;;5;;;;;;;;;;;;;18;;;;;3;;;;;33;;6;;;;3;;;;;;;7;;;20;;;;8;13;2;2;;;;;;;;;3;13;;6;2;;;;2;;;;6;;2;;;;;;;;;;2;;13;;;;6;;;;;;;;;;;;;;;15;;4;;;;;;5;;2;;47;;;;;;;;;;;;;7;;;;;;5;;;;4;;;;;11;7;;;;5;;;;4;;;;;20;3;20;;6;2;6;;;4;12;2;4;;2;2;2;4;5;4;2;20;2;2;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;11;;;;;;;;;;;12;;;;;;;;;;;30;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;24;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;10;;;;;;;;;;;5;;;;;;;5;4;;;6;;;12;;;32;;8;;;;9;3;;;4;;;;17;3;;;;;;;;2;;7;3;;;;;;;;;;824
:14;;;;;;;;;13;;9;;;;;;10;;;;;;;;7;;;;;;;;;;;4;15;;;;;;;;;3;;12;6;;15;;;;;;2;;;;;;;;;9;;;;8;;;;;;;;;28;;8;;;;;;;;5;;3;5;;;;;;;;;9;;;;;;3;;;;;13;13;;;3;;;;3;;3;;61;;;;;;;;;;;;3;;;;;;;;;;;;;;;;9;;;;;3;;;;;;;;;;;11;;2;;;10;;;;;8;;;;;;3;2;;;6;;;4;5;4;8;4;4;;;;;35;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;29;;;;;;;;;;;2;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;8;;;;;;;;;;;;;;;;;24;;;;;6;;;;;;25;;6;;;;37;3;;;18;;;;;24;;;;;;3;;3;;;;;3;;;;;;;;704
:15;;15;;;;;;;12;2;;;;;;;3;;;;2;;;;10;;;;;;;;;;;;;13;;;;;;;;14;2;;12;2;10;;;;;;;;;15;;;;;;19;;;;;;;;;;;;;28;;;;10;;;;;;;;2;;11;;;;;;;;38;;;;;;;;;;;16;6;;;;;2;5;;;;;69;;4;;;;;;;;;;5;;;;;4;;;;;;;;;;;3;;;4;;;;;;4;;;;;19;;;;;;3;3;;;2;;2;10;;;;;3;;;;;;;;10;;3;;6;7;9;21;9;49;4;8;2;4;2;5;2;3;3;;;;;;;;;;;;;57;;;;;;;;;;;;5;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;27;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;14;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;52;;;;28;;10;;9;2;;9;;;;;;20;;6;13;11;4;20;;5;;19;;;;8;9;;;;;;6;;;;;;;;;;;;;;;997
:16;;9;;;;;;8;22;;;;;;;;;;;;3;;;6;;;2;;;;;;;;;;;49;;;;;;;;;;;3;8;8;;;;;;;;;12;;;;;;;;;;;;;2;;;;;;18;;;12;;;;;23;;;18;;;24;2;;;;;;;37;;;;;2;3;;;;;;17;;;;;18;4;;;;;51;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;3;;;;;2;2;;;;;;;14;;;;;;;;;;;;;13;;2;;;;;;3;22;2;;;2;;7;;5;23;2;;3;2;5;2;4;2;3;2;2;;75;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;19;;;;29;;2;;;;;4;;;;;;31;;;16;;;3;2;10;;9;;;;11;40;;;;;;12;;;;;;;2;;;2;;;;2;892
:17;;4;;;;;;30;24;;;;;;;;2;;;;;;;7;;;;;;2;;2;2;;20;;;12;;;;;;;;;;20;18;;7;;;;;;;;;;;3;;;;;;;;;;;;;;;;;7;;;17;;;;;6;;;7;;;11;21;;;;;;;45;;;;;;2;;;;;;3;;;;17;20;26;;;;;41;;;;;;;7;;;;;;;;;;;;;;;9;;;;;;3;;3;;;;9;;;;;;6;;;;23;;;4;;;2;;;;;;;;;;;;;;;;;;16;;;;2;;;;5;20;;;;;;;;;11;;;;;;;;;3;;5;2;68;;4;25;2;2;2;;;;;;;;;;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;21;;;;;9;;2;;;;;;38;;;11;;;;3;5;;;;;;;;;;;;;;;;;;;;14;;;3;;;;;935
:18;4;15;;3;;;;;22;;;;;;;;5;;;;3;;;5;;;;;;;;;;;28;;;;;;;;;;2;;;31;;;2;;;;;;13;8;;;;;;;;;;;;;;;;;;;;;;;3;13;9;;;;;;;;;;;9;;;;;;;79;;;;;;;;;;;3;3;;;;2;4;18;4;;6;;70;;;;;;;;;;;;;2;;;;;;;;;5;;;;;;20;;;;;;15;;5;;;;;;;;23;3;;;;;;;;;;17;;;;;3;;;;;6;;;;;;;;;;;2;27;;21;;3;;;;;;;;;;;;;;4;;;;45;3;3;17;;;2;21;5;6;14;2;;4;2;3;;;;;;;;41;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;19;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;10;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;2;;;;;;;;;;;59;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;29;22;;;2;;;;;;;;48;;2;21;;21;;2;;;3;;;;;;;;;;;;;;;;;;4;;;;;;;;1048
:19;8;;;2;;;;;11;;;;;;;;7;;;;;;;8;12;2;;;;;;;;;32;;12;5;;;;;5;;8;;;;;;;;;;;;4;7;;;;;;;7;;;;;;;;;;;;;;25;6;5;14;28;;;;;;;;;;;;;;;;;5;14;;;;;;;;;;;24;16;;;;;2;;;;8;;17;;;;;;2;;;2;;;;;;;;;;;;;9;;;;;;21;;;;;;;;3;;;;;;;8;52;16;;;;;;;;;;4;;;5;;;;;;;8;;;;;;;;;3;;2;43;;;;;;2;;;;;;;;;;3;;;;;;38;2;16;;;;;6;;;8;2;;;;3;2;2;3;6;5;2;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;37;;;;;;;;;;;7;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;23;;;;3;5;;2;;;;17;;5;3;9;;;4;4;;11;8;;2;;6;;;;;;7;;;;2;;;9;;;;;;;2;867
:20;;;;7;;;;;19;;;;;;;;5;;2;;;;;6;8;6;;;;;;;;7;17;;19;32;;;;;9;;7;;9;;;;;;21;;;;;;;;2;;5;;;;;;;;;;;;;;;;28;16;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;17;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;3;59;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;3;;;35;;;;;;;;;2;;;;;;;11;;;;;;31;2;11;;;;;;;;13;;;;;;;;;5;8;;7;;7;4;11;3;2;3;;;;;2;;;;;;;;;;;22;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;17;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;9;;;;11;4;;32;;;;58;2;3;;;;;;2;;2;2;;;;6;;;;;;;;;;;;;19;;;;;5;;;782
:21;20;;;15;;;;;5;4;31;;;;;;;;;;2;;;;8;3;3;;;;;;;3;7;;15;33;;;;;;;4;;;;;;4;;35;;;;;;;;;;;;;;;;;;;;;;;;4;;48;;;10;;;;;;;;12;;;12;;;;;;;2;24;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;;;4;;;;;;;;18;;;;2;;;;26;;;2;;;;;;;;4;;8;63;;;;;;;;;3;;;;;;;4;;;;;;47;;6;;2;;;;;;;;;;;;;;;;;;4;13;;4;12;;8;27;2;20;13;11;;2;3;6;5;;;;;;;27;;;;;;;;;;;2;;;;;;;;;;;3;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;16;;;;;;;;;;;;7;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;8;6;;;;;;;24;;;;39;16;;;;2;17;;6;;;;;;;;3;2;;;;7;;;;;;;33;;;3;8;5;12;;1097
:22;12;;;;;;;2;2;4;13;;;;;;4;;;;3;;;;6;;8;;;;;;;;33;19;;8;;;;;;;;;;;;;;;4;;;;;;;;;;;2;;;;;;5;;;;;;;6;;31;;2;12;2;;;;;;;39;;;5;;;;;;;21;;;;;;;;;;;;;24;;;;;;;;;2;;42;;;;;;4;;;;;;;;;;;;;;;2;6;;;;;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;18;;;;2;;;;;;;2;;;;;;;;2;;3;50;;;;;;2;;;;;;;;;;7;;;;;;7;;;;14;;;3;;;;;;;2;2;;;;;;;;28;;4;;;;14;;22;;3;;2;15;10;8;6;4;4;3;11;6;;2;3;4;;;;;;;;19;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;9;;;;;;;17;;;;27;;;10;;2;;9;27;2;2;;;;;;;;;;;22;;;;;;;5;;;13;;;21;2;945
:23;;8;;;3;;;6;10;;9;;;4;;;18;;;;4;;2;8;9;;9;;;;;;;;16;5;;4;;;;;;;;;5;;;;;2;;4;;;;;;;;;;;2;;;;;2;;;3;;;;;;25;;3;15;;;;;;;4;19;;;;4;;;;;;2;;;;;;;;;;;3;2;23;;;;;;;;;;;35;;;;;;;;;;;2;;;;;;;;;;;26;;;;;;;;;;;;;;3;;;;;;;;65;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;3;;;9;;;;2;;;;;;;;;;3;;;;;;;;22;;;12;18;;;12;2;;;;;;;;;;;;;;;;;5;;;;;;;;;;;4;;;;3;3;;6;2;;2;4;10;2;3;2;3;;;;41;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;4;;;;;;;;;;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;2;;;7;;;;34;;2;17;;;;;16;;9;;;2;;10;;;;;;9;4;3;;;;;20;;;;;;;;738
:24;;;;;2;2;;;16;;17;;;;;;15;;;;3;;4;31;11;;10;;;;;;;;2;;6;10;;;;;;;;;;;;;2;;;;;;8;4;;;;;;;13;;;;;5;;;;;;;;;45;;;15;;;;;4;;;29;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;64;;;;;;2;;;;;;2;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;3;;;59;;;;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;;3;;;;;;;;;;;;7;;;;;;3;;;;48;;;;;;;;;;;;;;;;;2;;;;;2;;;;3;;;;;17;;;;;;;2;;;;;;;;;;33;;;;;3;2;;59;;;;;;;;;;;22;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;23;11;21;;;;;;;;;;56;2;2;10;;;;3;;;3;3;;5;;3;;3;;3;;20;;2;;;;;2;;;;;;;;863
